gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_row,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
womens,3/12/2023,#N/A,#N/A,0.593788738,0.147826932,0.04050588,0.008323231,0.000705644,0.000218186,1,1,111,#N/A,#N/A,#NAME?,Albany 2,#N/A,80,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.406211262,0.07894008,0.012033858,0.001355069,7.46E-05,1.66E-05,1,1,112,#N/A,#N/A,#NAME?,Albany 2,#N/A,82,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.983897226,0.771785578,0.21139271,0.043058761,0.004035637,0.001333758,1,1,113,#N/A,#N/A,#NAME?,Albany 2,#N/A,84,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.016102774,0.00144741,2.91E-05,4.46E-07,3.25E-09,1.35E-10,1,1,114,#N/A,#N/A,#NAME?,Albany 2,#N/A,86,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.518492574,0.051076515,0.022413861,0.00352856,0.000273075,7.90E-05,1,1,115,#N/A,#N/A,#NAME?,Albany 2,#N/A,88,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.481507426,0.044710971,0.018582101,0.002717103,0.000191478,5.16E-05,1,1,116,#N/A,#N/A,#NAME?,Albany 2,#N/A,90,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.996851867,0.904005263,0.695031237,0.282325442,0.055853132,0.030580829,1,1,117,#N/A,#N/A,#NAME?,Albany 2,#N/A,92,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.003148133,0.000207252,1.13E-05,1.60E-07,1.39E-09,6.80E-11,1,1,118,#N/A,#N/A,#NAME?,Albany 2,#N/A,94,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.996053013,0.902686563,0.525505127,0.25424292,0.116929835,0.023107618,1,1,119,#N/A,#N/A,#NAME?,Portland 3,#N/A,96,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.003946987,0.000311824,7.37E-06,1.64E-07,4.57E-09,4.30E-11,1,1,120,#N/A,#N/A,#NAME?,Portland 3,#N/A,98,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.401915236,0.03179182,0.010025996,0.002617461,0.000544314,4.18E-05,1,1,121,#N/A,#N/A,#NAME?,Portland 3,#N/A,100,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.598084764,0.065209793,0.021426899,0.005812658,0.001417999,0.000130171,1,1,122,#N/A,#N/A,#NAME?,Portland 3,#N/A,102,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.836199596,0.255135383,0.111958321,0.046159944,0.017820401,0.002823674,1,1,123,#N/A,#N/A,#NAME?,Portland 3,#N/A,104,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.163800404,0.016233732,0.002341736,0.000342904,4.96E-05,2.56E-06,0,1,124,#N/A,#N/A,#NAME?,Portland 3,#N/A,106,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.163800404,0.016233732,0.002341736,0.000342904,4.96E-05,2.56E-06,0,1,125,#N/A,#N/A,#NAME?,Portland 3,#N/A,107,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.979890412,0.72660352,0.328622941,0.138983167,0.057242129,0.009803346,1,1,126,#N/A,#N/A,#NAME?,Portland 3,#N/A,108,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.020109588,0.002027365,0.000111606,6.74E-06,4.64E-07,1.10E-08,1,1,127,#N/A,#N/A,#NAME?,Portland 3,#N/A,110,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.774007797,0.276435025,0.072197107,0.026614552,0.008384819,0.00103453,1,1,128,#N/A,#N/A,#NAME?,Portland 3,#N/A,112,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.171568864,0.032765577,0.004281911,0.000879633,0.000159297,1.05E-05,0,1,129,#N/A,#N/A,#NAME?,Portland 3,#N/A,114,#N/A,#NAME?,#N/A,#NAME?
